# Directed graph: graphs/prereq.txt 
# Nodes: 195 Edges: 300
# FromNodeId	ToNodeId
2600	1995
2600	2595
2600	2601
2600	3413
2600	3575
2600	7024
2600	7030
2600	8903
2600	8907
2601	2595
2601	2607
2601	8907
1988	1990
1988	6945
1988	7022
1988	7024
1988	8903
1988	9740
1990	1995
1990	6951
1990	9740
1995	1170
1995	1470
1995	2000
1995	2002
1995	2600
1995	6126
1995	6127
1995	9970
2000	1170
2000	1173
2000	1177
2000	1470
2000	1472
2000	1474
2000	1921
2000	1922
2000	6132
2000	6133
6126	1922
6126	6132
6126	6133
6132	2002
6132	6138
6132	6139
6127	1922
6127	6132
6127	6133
6133	2002
6133	6138
6133	6139
6138	8854
6138	8860
6139	8854
6139	8860
8903	1995
8903	2600
8903	2601
8903	4753
8903	8907
8903	8910
8907	2600
8907	4753
8907	8911
8907	8916
1922	1175
1922	1472
1922	1473
1922	1474
1922	1926
1922	2002
1922	6138
1922	6139
3575	3416
3575	3417
3575	3577
3575	3578
3577	3417
3577	3465
3577	3578
2607	2595
2607	2610
2607	2611
2607	2614
2607	2641
3520	3521
3520	7024
3520	9740
3521	3575
1170	1173
1170	1177
1170	1922
1173	1175
2002	1173
2002	1470
2002	1921
2002	1922
2002	8860
1470	1472
1470	1474
1470	1922
1472	1473
1472	1475
1472	2002
9740	1995
9740	2000
9740	2002
9740	2600
9740	3413
9740	3520
9740	6126
9740	6127
9740	6217
9740	7024
9740	7030
9740	9435
9740	9970
9740	10774
7024	1995
7024	2000
7024	2595
7024	2600
7024	2601
7024	2607
7024	3413
7024	3416
7024	3520
7024	3575
7024	6216
7024	6229
7024	7028
7024	7030
7024	8903
7024	8907
7024	9435
7024	9740
7024	9970
7028	7030
6942	1990
6942	6945
6945	1995
6945	6951
1921	1474
1921	1926
10339	10340
10340	10341
6209	6228
10548	10554
8854	8863
8854	8869
8863	8872
8863	8877
3416	3417
3416	3575
3416	3577
3416	3578
3417	3465
3417	3578
8860	1926
8860	8863
8860	8869
8869	8872
8869	8877
7020	1990
7020	7022
7022	1995
7022	7024
7022	9740
8911	4798
8911	8903
6216	6217
1993	1995
1993	7024
1993	8903
1993	9740
2301	2303
2301	8903
2303	2306
2303	8907
3578	3425
3578	3465
3578	3577
7030	2600
7030	7028
6229	6230
2595	2607
2595	2611
2595	2614
2611	2641
2611	2704
6298	6299
1474	1473
1474	1475
1474	2002
7165	7138
7165	7166
7166	7139
7166	7170
6226	6227
6248	6249
1987	1995
2614	2611
2614	2641
3413	2600
3413	3416
3413	3575
3413	7024
3413	9740
6224	6225
6280	6281
10520	10548
6241	6242
7138	7139
7138	7170
8910	8911
8910	8916
6220	6221
2641	2704
10546	10552
2596	2597
4798	7424
7424	7165
7424	7429
6557	6561
6561	6572
6245	6246
1177	1175
1177	1178
7599	7600
8906	8907
8906	8910
1933	1934
1934	1936
3151	3114
2606	2607
8932	8935
8932	8936
8935	8937
8935	8940
7177	7138
7177	7166
3913	3914
3913	3917
9435	2600
9435	7024
9435	9395
9435	9740
9435	10774
7215	7216
7429	7125
7429	7138
7429	7198
6231	6232
8832	8833
6255	9740
6284	6285
8926	8928
3916	3914
3916	3917
2680	1990
2680	2600
2680	2813
2680	7024
2680	8903
2680	9395
2680	9740
4753	4759
4753	4798
4753	7122
4753	7429
6235	6236
5115	5127
8936	8937
8936	8940
8836	8837
7143	7144
10657	10658
10658	10659
7026	7029
7029	7031
2009	2010
3576	3575
6282	6283
6204	6205
8848	8849
6289	6290
4759	4798
3910	3913
3910	3916
2006	2008
2006	2009
7908	7909
6233	6234
5105	5115
6222	6223
2696	2697
6259	6260
6243	6244
6275	9740
2008	2012
